threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,experiment
0.31,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.32,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.33,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.34,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.35,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.36,0.9285714285714286,0.75,0.8297872340425532,45514,3,13,39,base_features
0.37,0.9512195121951219,0.75,0.8387096774193549,45515,2,13,39,base_features
0.38,0.9512195121951219,0.75,0.8387096774193549,45515,2,13,39,base_features
0.39,0.9512195121951219,0.75,0.8387096774193549,45515,2,13,39,base_features
0.4,0.9512195121951219,0.75,0.8387096774193549,45515,2,13,39,base_features
0.41,0.9512195121951219,0.75,0.8387096774193549,45515,2,13,39,base_features
0.42,0.9512195121951219,0.75,0.8387096774193549,45515,2,13,39,base_features
0.43,0.9512195121951219,0.75,0.8387096774193549,45515,2,13,39,base_features
0.44,0.9512195121951219,0.75,0.8387096774193549,45515,2,13,39,base_features
0.45,0.9512195121951219,0.75,0.8387096774193549,45515,2,13,39,base_features
0.46,0.9512195121951219,0.75,0.8387096774193549,45515,2,13,39,base_features
0.47,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.48,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.49,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.5,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.51,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.52,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.53,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.54,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.55,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.56,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.57,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.58,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.59,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.6,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.61,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.62,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.63,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.64,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.65,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.66,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.67,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.68,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.69,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.7,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.71,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.72,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.73,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.74,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.75,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.76,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.77,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.78,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.79,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.8,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
0.81,0.95,0.7307692307692307,0.8260869565217391,45515,2,14,38,base_features
