threshold,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,false_alert_rate,fraud_capture_rate,total_cost,cost_false_negative,cost_false_positive
0.66,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.67,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.68,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.69,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.7,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.71,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.72,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.73,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.74,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.75,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.76,56880,7,19,56,0.8888888888888888,0.7466666666666667,0.8115942028985508,0.00012305096067642872,0.7466666666666667,1935,100,5
0.77,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.78,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.79,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.8,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.81,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.82,56881,6,19,56,0.9032258064516129,0.7466666666666667,0.8175182481751825,0.00010547225200836747,0.7466666666666667,1930,100,5
0.83,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.84,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.85,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.86,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.87,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.88,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.89,56881,6,20,55,0.9016393442622951,0.7333333333333333,0.8088235294117647,0.00010547225200836747,0.7333333333333333,2030,100,5
0.9,56882,5,20,55,0.9166666666666666,0.7333333333333333,0.8148148148148148,8.789354334030623e-05,0.7333333333333333,2025,100,5
0.91,56883,4,20,55,0.9322033898305084,0.7333333333333333,0.8208955223880597,7.031483467224498e-05,0.7333333333333333,2020,100,5
0.92,56884,3,20,55,0.9482758620689655,0.7333333333333333,0.8270676691729323,5.2736126004183736e-05,0.7333333333333333,2015,100,5
0.93,56884,3,20,55,0.9482758620689655,0.7333333333333333,0.8270676691729323,5.2736126004183736e-05,0.7333333333333333,2015,100,5
0.94,56884,3,21,54,0.9473684210526315,0.72,0.8181818181818182,5.2736126004183736e-05,0.72,2115,100,5
0.95,56884,3,21,54,0.9473684210526315,0.72,0.8181818181818182,5.2736126004183736e-05,0.72,2115,100,5
